C-ERVZEITPUNKT3-0;C-ERVAMSTVORHER4-0;C-ERVAMST4-0;C-ERVAGE5-0;C-ERVSEX1-0;F-ERV_STAT_HAUPT
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-10;ERVEXTAGE5-65;2;4
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-30;ERVEXTAGE5-15;1;13854
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-30;ERVEXTAGE5-15;2;13634
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-30;ERVEXTAGE5-65;1;3
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-40;ERVEXTAGE5-15;1;43
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-40;ERVEXTAGE5-15;2;36
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-40;ERVEXTAGE5-65;1;2
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-40;ERVEXTAGE5-65;2;1
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-50;ERVEXTAGE5-15;1;13756
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-50;ERVEXTAGE5-15;2;21983
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-50;ERVEXTAGE5-65;2;1
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-90;ERVEXTAGE5-15;1;34279
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-90;ERVEXTAGE5-15;2;32680
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-90;ERVEXTAGE5-65;1;15
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-50;ERVEXTAMST4-90;ERVEXTAGE5-65;2;8
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-10;ERVEXTAGE5-15;1;272392
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-10;ERVEXTAGE5-15;2;245757
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-10;ERVEXTAGE5-15;0;4
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-10;ERVEXTAGE5-65;1;1267
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-10;ERVEXTAGE5-65;2;1977
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-30;ERVEXTAGE5-15;1;347148
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-30;ERVEXTAGE5-15;2;276373
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-30;ERVEXTAGE5-65;1;192
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-30;ERVEXTAGE5-65;2;84
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-40;ERVEXTAGE5-15;1;11984
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-40;ERVEXTAGE5-15;2;16253
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-40;ERVEXTAGE5-15;0;1
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-40;ERVEXTAGE5-65;1;4309
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-40;ERVEXTAGE5-65;2;8153
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-50;ERVEXTAGE5-15;1;15635
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-50;ERVEXTAGE5-15;2;17598
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-50;ERVEXTAGE5-15;0;2
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-50;ERVEXTAGE5-65;1;12
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-50;ERVEXTAGE5-65;2;9
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-90;ERVEXTAGE5-15;1;244271
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-90;ERVEXTAGE5-15;2;268344
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-90;ERVEXTAGE5-15;0;1
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-90;ERVEXTAGE5-65;1;6055
ERVEXTZEITPUNKT3-2010;ERVEXTAMST4-90;ERVEXTAMST4-90;ERVEXTAGE5-65;2;16127
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-10;ERVEXTAGE5-15;1;348515
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-10;ERVEXTAGE5-15;2;300100
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-10;ERVEXTAGE5-65;1;2759
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-10;ERVEXTAGE5-65;2;1423
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-20;ERVEXTAGE5-15;1;42523
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-20;ERVEXTAGE5-15;2;95590
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-20;ERVEXTAGE5-65;1;75
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-20;ERVEXTAGE5-65;2;61
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-30;ERVEXTAGE5-15;1;368145
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-30;ERVEXTAGE5-15;2;235308
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-30;ERVEXTAGE5-65;1;61
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-30;ERVEXTAGE5-65;2;35
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-40;ERVEXTAGE5-15;1;44634
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-40;ERVEXTAGE5-15;2;45632
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-40;ERVEXTAGE5-65;1;19926
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-40;ERVEXTAGE5-65;2;9658
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-50;ERVEXTAGE5-15;1;120571
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-50;ERVEXTAGE5-15;2;164702
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-50;ERVEXTAGE5-65;1;3
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-10;ERVEXTAMST4-50;ERVEXTAGE5-65;2;2
